"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Oct 02 13:48:11 GMT 2024","Wed Oct 02 13:48:11 GMT 2024","0","chromium","DECIMAL_WEB/TC_AP_035.spec.ts","","","","TC_AP_035 Verify the ""Function Role"" page details",""
"passed","Wed Oct 02 13:24:32 GMT 2024","Wed Oct 02 13:24:41 GMT 2024","8940","chromium","DECIMAL_WEB/TC_AP_013.spec.ts","","","","TC_AP_013 Verify the Function Code search option is working for vaild inputs",""
"passed","Wed Oct 02 13:25:08 GMT 2024","Wed Oct 02 13:25:17 GMT 2024","8875","chromium","DECIMAL_WEB/TC_AP_019.spec.ts","","","","TC_AP_019 Verify the combination search option is working for vaild inputs",""
"broken","Wed Oct 02 13:42:49 GMT 2024","Wed Oct 02 13:44:49 GMT 2024","120093","chromium","DECIMAL_WEB/TC_AP_030.spec.ts","","","","TC_AP_030 Verify the function page action column edit button is working.",""
"passed","Wed Oct 02 13:23:35 GMT 2024","Wed Oct 02 13:23:43 GMT 2024","7570","chromium","DECIMAL_WEB/TC_AP_005.spec.ts","","","","TC_AP_005 Verify the ""Employee"" sub-module Page is working",""
"passed","Wed Oct 02 13:23:28 GMT 2024","Wed Oct 02 13:23:35 GMT 2024","7617","chromium","DECIMAL_WEB/TC_AP_003.spec.ts","","","","TC_AP_003 Verify that ""Function Role"" module Page is working",""
"passed","Wed Oct 02 13:25:35 GMT 2024","Wed Oct 02 13:25:45 GMT 2024","9854","chromium","DECIMAL_WEB/TC_AP_022.spec.ts","","","","TC_AP_022 Verify the Function Search button option",""
"passed","Wed Oct 02 13:24:50 GMT 2024","Wed Oct 02 13:24:59 GMT 2024","8827","chromium","DECIMAL_WEB/TC_AP_015.spec.ts","","","","TC_AP_015 Verify the Function Name search option is working for vaild inputs",""
"broken","Wed Oct 02 13:44:50 GMT 2024","Wed Oct 02 13:46:50 GMT 2024","120089","chromium","DECIMAL_WEB/TC_AP_031.spec.ts","","","","TC_AP_031 Verify the function data saved for valid data",""
"passed","Wed Oct 02 13:24:59 GMT 2024","Wed Oct 02 13:25:08 GMT 2024","9295","chromium","DECIMAL_WEB/TC_AP_016.spec.ts","","","","TC_AP_016 Verify the Function Name search option is working for invaild inputs",""
"passed","Wed Oct 02 13:23:59 GMT 2024","Wed Oct 02 13:24:07 GMT 2024","8389","chromium","DECIMAL_WEB/TC_AP_009.spec.ts","","","","TC_AP_009 Verify the ""Employee"" sub-module redirection",""
"skipped","Wed Oct 02 13:48:11 GMT 2024","Wed Oct 02 13:48:11 GMT 2024","1","chromium","DECIMAL_WEB/TC_AP_036.spec.ts","","","","TC_AP_036 Verify the Function Role List option",""
"passed","Wed Oct 02 13:32:07 GMT 2024","Wed Oct 02 13:32:18 GMT 2024","11635","chromium","DECIMAL_WEB/TC_AP_026.spec.ts","","","","TC_AP_026 Verify the function page action column view button is working.",""
"passed","Wed Oct 02 13:25:45 GMT 2024","Wed Oct 02 13:25:54 GMT 2024","9276","chromium","DECIMAL_WEB/TC_AP_023.spec.ts","","","","TC_AP_023 Verify the Function Status search option is Active",""
"passed","Wed Oct 02 13:24:07 GMT 2024","Wed Oct 02 13:24:15 GMT 2024","8058","chromium","DECIMAL_WEB/TC_AP_010.spec.ts","","","","TC_AP_010 Verify the ""Function"" page details",""
"passed","Wed Oct 02 13:23:43 GMT 2024","Wed Oct 02 13:23:51 GMT 2024","7990","chromium","DECIMAL_WEB/TC_AP_006.spec.ts","","","","TC_AP_006 Verify the ""Function"" sub-module redirection",""
"passed","Wed Oct 02 13:32:30 GMT 2024","Wed Oct 02 13:32:44 GMT 2024","13484","chromium","DECIMAL_WEB/TC_AP_028.spec.ts","","","","TC_AP_028 Verify the edit data is populated.",""
"broken","Wed Oct 02 13:30:06 GMT 2024","Wed Oct 02 13:32:06 GMT 2024","120083","chromium","DECIMAL_WEB/TC_AP_025.spec.ts","","","","TC_AP_025 Verify the function page action column delete button is working.",""
"skipped","Wed Oct 02 13:48:11 GMT 2024","Wed Oct 02 13:48:11 GMT 2024","0","chromium","DECIMAL_WEB/TC_AP_034.spec.ts","","","","TC_AP_034 Verify the user create data with existing function code",""
"passed","Wed Oct 02 13:23:20 GMT 2024","Wed Oct 02 13:23:28 GMT 2024","7817","chromium","DECIMAL_WEB/TC_AP_002.spec.ts","","","","TC_AP_002 Verify that ""Function"" module Page is working",""
