"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 27 13:24:55 GMT 2024","Fri Sep 27 13:25:04 GMT 2024","8324","chromium","DECIMAL_WEB/TC_AP_010.spec.ts","","","","TC_AP_010 Verify the ""Function"" page details",""
"skipped","Fri Sep 27 13:48:56 GMT 2024","Fri Sep 27 13:48:56 GMT 2024","0","chromium","DECIMAL_WEB/TC_AP_035.spec.ts","","","","TC_AP_035 Verify the ""Function Role"" page details",""
"passed","Fri Sep 27 13:26:03 GMT 2024","Fri Sep 27 13:26:13 GMT 2024","10205","chromium","DECIMAL_WEB/TC_AP_019.spec.ts","","","","TC_AP_019 Verify the combination search option is working for vaild inputs",""
"broken","Fri Sep 27 13:31:08 GMT 2024","Fri Sep 27 13:33:08 GMT 2024","120089","chromium","DECIMAL_WEB/TC_AP_025.spec.ts","","","","TC_AP_025 Verify the function page action column delete button is working.",""
"passed","Fri Sep 27 13:26:24 GMT 2024","Fri Sep 27 13:26:34 GMT 2024","10275","chromium","DECIMAL_WEB/TC_AP_021.spec.ts","","","","TC_AP_021 Verify the Function Clear filter button option",""
"passed","Fri Sep 27 13:26:55 GMT 2024","Fri Sep 27 13:27:06 GMT 2024","11025","chromium","DECIMAL_WEB/TC_AP_024.spec.ts","","","","TC_AP_024 Verify the Function Status search option is Inactive",""
"passed","Fri Sep 27 13:26:34 GMT 2024","Fri Sep 27 13:26:44 GMT 2024","10285","chromium","DECIMAL_WEB/TC_AP_022.spec.ts","","","","TC_AP_022 Verify the Function Search button option",""
"passed","Fri Sep 27 13:25:21 GMT 2024","Fri Sep 27 13:25:32 GMT 2024","10702","chromium","DECIMAL_WEB/TC_AP_013.spec.ts","","","","TC_AP_013 Verify the Function Code search option is working for vaild inputs",""
"skipped","Fri Sep 27 13:48:56 GMT 2024","Fri Sep 27 13:48:56 GMT 2024","0","chromium","DECIMAL_WEB/TC_AP_036.spec.ts","","","","TC_AP_036 Verify the Function Role List option",""
"skipped","Fri Sep 27 13:48:56 GMT 2024","Fri Sep 27 13:48:56 GMT 2024","1","chromium","DECIMAL_WEB/TC_AP_034.spec.ts","","","","TC_AP_034 Verify the user create data with existing function code",""
"passed","Fri Sep 27 13:33:09 GMT 2024","Fri Sep 27 13:33:20 GMT 2024","11919","chromium","DECIMAL_WEB/TC_AP_026.spec.ts","","","","TC_AP_026 Verify the function page action column view button is working.",""
"passed","Fri Sep 27 13:33:33 GMT 2024","Fri Sep 27 13:33:46 GMT 2024","13280","chromium","DECIMAL_WEB/TC_AP_028.spec.ts","","","","TC_AP_028 Verify the edit data is populated.",""
"passed","Fri Sep 27 13:25:42 GMT 2024","Fri Sep 27 13:25:53 GMT 2024","10323","chromium","DECIMAL_WEB/TC_AP_015.spec.ts","","","","TC_AP_015 Verify the Function Name search option is working for vaild inputs",""
"passed","Fri Sep 27 13:33:21 GMT 2024","Fri Sep 27 13:33:33 GMT 2024","11837","chromium","DECIMAL_WEB/TC_AP_027.spec.ts","","","","TC_AP_027 Verify the function view page",""
"passed","Fri Sep 27 13:24:21 GMT 2024","Fri Sep 27 13:24:29 GMT 2024","7934","chromium","DECIMAL_WEB/TC_AP_005.spec.ts","","","","TC_AP_005 Verify the ""Employee"" sub-module Page is working",""
"passed","Fri Sep 27 13:24:38 GMT 2024","Fri Sep 27 13:24:46 GMT 2024","8309","chromium","DECIMAL_WEB/TC_AP_007.spec.ts","","","","TC_AP_007 Verify the ""Function Role"" sub-module redirection",""
"skipped","Fri Sep 27 13:48:56 GMT 2024","Fri Sep 27 13:48:56 GMT 2024","0","chromium","DECIMAL_WEB/TC_AP_033.spec.ts","","","","TC_AP_033 Verify the delete function code data and re-use same",""
"passed","Fri Sep 27 13:25:53 GMT 2024","Fri Sep 27 13:26:03 GMT 2024","10440","chromium","DECIMAL_WEB/TC_AP_016.spec.ts","","","","TC_AP_016 Verify the Function Name search option is working for invaild inputs",""
"passed","Fri Sep 27 13:24:47 GMT 2024","Fri Sep 27 13:24:55 GMT 2024","8821","chromium","DECIMAL_WEB/TC_AP_009.spec.ts","","","","TC_AP_009 Verify the ""Employee"" sub-module redirection",""
"passed","Fri Sep 27 13:26:45 GMT 2024","Fri Sep 27 13:26:55 GMT 2024","10210","chromium","DECIMAL_WEB/TC_AP_023.spec.ts","","","","TC_AP_023 Verify the Function Status search option is Active",""
"passed","Fri Sep 27 13:24:29 GMT 2024","Fri Sep 27 13:24:38 GMT 2024","8787","chromium","DECIMAL_WEB/TC_AP_006.spec.ts","","","","TC_AP_006 Verify the ""Function"" sub-module redirection",""
"passed","Fri Sep 27 13:25:12 GMT 2024","Fri Sep 27 13:25:21 GMT 2024","8787","chromium","DECIMAL_WEB/TC_AP_012.spec.ts","","","","TC_AP_012 Verify the Function Filter & Search option",""
"broken","Fri Sep 27 13:45:52 GMT 2024","Fri Sep 27 13:47:52 GMT 2024","120080","chromium","DECIMAL_WEB/TC_AP_031.spec.ts","","","","TC_AP_031 Verify the function data saved for valid data",""
"passed","Fri Sep 27 13:24:05 GMT 2024","Fri Sep 27 13:24:13 GMT 2024","7965","chromium","DECIMAL_WEB/TC_AP_002.spec.ts","","","","TC_AP_002 Verify that ""Function"" module Page is working",""
"passed","Fri Sep 27 13:26:13 GMT 2024","Fri Sep 27 13:26:24 GMT 2024","10692","chromium","DECIMAL_WEB/TC_AP_020.spec.ts","","","","TC_AP_020 Verify the combination search option is working for invaild inputs",""
"passed","Fri Sep 27 13:25:32 GMT 2024","Fri Sep 27 13:25:42 GMT 2024","10674","chromium","DECIMAL_WEB/TC_AP_014.spec.ts","","","","TC_AP_014 Verify the Function Code search option is working for invaild inputs",""
"broken","Fri Sep 27 13:43:51 GMT 2024","Fri Sep 27 13:45:51 GMT 2024","120079","chromium","DECIMAL_WEB/TC_AP_030.spec.ts","","","","TC_AP_030 Verify the function page action column edit button is working.",""
"passed","Fri Sep 27 13:25:04 GMT 2024","Fri Sep 27 13:25:12 GMT 2024","8353","chromium","DECIMAL_WEB/TC_AP_011.spec.ts","","","","TC_AP_011 Verify the Function List option",""
"passed","Fri Sep 27 13:24:13 GMT 2024","Fri Sep 27 13:24:21 GMT 2024","8132","chromium","DECIMAL_WEB/TC_AP_003.spec.ts","","","","TC_AP_003 Verify that ""Function Role"" module Page is working",""
"passed","Fri Sep 27 13:23:57 GMT 2024","Fri Sep 27 13:24:05 GMT 2024","8071","chromium","DECIMAL_WEB/TC_AP_001.spec.ts","","","","TC_AP_001 Verify that ""Organization Management"" has sub-modules",""
"broken","Fri Sep 27 13:37:48 GMT 2024","Fri Sep 27 13:39:48 GMT 2024","120087","chromium","DECIMAL_WEB/TC_AP_029.spec.ts","","","","TC_AP_029 Verify the function view page edit or delete",""
